date,rain
1568692800,0
1568696400,0
1568700000,0
1568703600,0
1568707207,0
1568710806,0
1568714406,0
1568718008,0
1568721607,0
1568725207,0
1568728814,0
1568732407,0
1568736006,0
1568739614,0
1568743208,0
1568746806,0
1568750407,0
1568754007,0
1568757607,0
1568761207,0
1568764806,0
1568768408,0
1568772007,0
1568775613,0
1568779206,0
1568782808,0
1568786411,0
1568790010,0
1568793607,0
1568797210,0
1568800807,0
1568804408,0
1568808008,0
1568811611,0
1568815206,0
1568818808,0
1568822410,0
1568826007,0
1568829608,0
1568833206,0
1568836809,0
1568840408,0
1568844007,0
1568847607,0
1568851207,0
1568854806,0
1568858406,0
1568862006,0
1568865606,0
1568869207,0
1568872810,0
1568876407,0
1568880006,0
1568883607,0
1568887206,0
1568890807,0
1568894406,0
1568898013,0
1568901620,0
1568905207,0
1568908808,0
1568912426,0
1568916007,0
1568919617,0
1568923208,0
1568926811,0
1568930406,0
1568934007,0
1568937606,0
1568941206,0
1568944807,0
1568948406,0
1568952007,0
1568955607,0
1568959208,0
1568962807,0
1568966407,0
1568970008,0
1568973607,0
1568977207,0
1568980806,0
1568984407,0
1568988007,0
1568991606,0
1568995207,0
1568998807,0
1569002412,0
1569006007,0
1569009607,0
1569013212,0
1569016806,0
1569020407,0
1569024007,0
1569027606,0
1569031206,0
1569034806,0
1569038406,0
1569042007,0
1569045606,0
1569049207,0
1569052806,0
1569056408,0
1569060006,0
1569063607,0
1569067207,0
1569070807,0
1569074418,0
1569078007,0
1569081606,0
1569085206,0
1569088807,0
1569092407,0
1569096006,0
1569099607,0
1569103207,0
1569106809,0
1569110406,0
1569114007,0
1569117607,0
1569121207,0
1569124806,0
1569128407,0
1569132007,0
1569135606,0
1569142806,0
1569146407,0
1569150008,0
1569153610,0
1569157207,0
1569160806,0
1569164407,0
1569171608,0
1569175207,0
1569178806,0
1569182408,0
1569186007,0
1569189607,0
1569193207,0
1569196808,0
1569200406,0
1569204007,0
1569207607,0
1569214807,0
1569218406,0
1569222007,0
1569225606,0
1569236407,0
1569240006,0
1569243606,0
1569247207,0
1569250806,0
1569254417,0
1569258007,0
1569265206,0
1569268807,0
1569272407,0
1569276006,0
1569279606,0
1569283206,0
1569286807,0
1569290406,0
1569294007,0
1569297608,0
1569301206,0
1569304806,0
1569308406,0
1569312006,0
1569315606,0
1569319210,0
1569322807,0
1569326406,0
1569330006,0
1569333607,0
1569337207,0
1569340806,0
1569344408,0
1569348006,0
1569351607,0
1569355208,0
1569358806,0
1569362408,0
1569366007,0
1569369606,0
1569373206,0
1569376807,0
1569380407,0
1569384006,0
1569387607,0
1569391207,0
1569394808,0
1569398406,0
1569402009,0
1569405606,0
1569409206,0
1569412806,0
1569416410,0
1569420008,0
1569423606,0
1569427207,0
1569430806,0
1569434407,0
1569438006,0
1569441606,0
1569445207,0
1569448807,0
1569452408,0
1569456006,0
1569459612,0
1569463206,0
1569466806,0
1569470408,0
1569474007,0
1569477607,0
1569481208,0
1569484807,0
1569488406,0
1569492007,0
1569495608,0
1569499213,0
1569502810,0
1569506406,0
1569510007,0
1569513606,0
1569517206,0
1569520808,0
1569524407,0
1569528007,0
1569531607,0
1569535207,0
1569538806,0
1569542406,0
1569546009,0
1569549606,0
1569553206,0
1569556807,0
1569560406,0
1569564006,0
1569571207,0
1569578408,0
1569582007,0
1569585607,0
1569589207,0
1569592806,0
1569596407,0
1569600006,0
1569603607,0
1569607207,0
1569610807,0
1569614407,0
1569618006,0
1569621607,0
1569625207,0
1569628806,0
1569632406,0
1569636007,0
1569639606,0
1569643207,0
1569650408,0
1569654007,0
1569657606,0
1569661207,0
1569664811,0
1569668406,0
1569672007,0
1569675608,0
1569682807,0
1569686412,0
1569690007,0
1569693607,0
1569697206,0
1569700808,0
1569708006,0
1569711607,0
1569715211,0
1569718807,0
1569722407,0
1569726007,0
1569729606,0
1569733206,0
1569736807,0
1569740408,0
1569744006,0
1569747607,0
1569751207,0
1569754807,0
1569758408,0
1569762006,0
1569765606,0
1569769207,0
1569772807,0
1569776407,0
1569780006,0
1569787206,0
1569790807,0
1569794407,0
1569798010,0
1569805206,0
1569812407,0
1569816007,0
1569819608,0
1569823207,0
1569826822,0
1569830407,0
1569834007,0
1569844808,0
1569848408,0
1569852007,0
1569855607,0
1569859207,0
1569870010,0
1569873607,0
1569877206,0
1569880807,0
1569888009,0
1569891606,0
1569895208,0
1569898808,0
1569902406,0
1569906007,0
1569909606,0
1569913212,0
1569920407,0
1569924006,0
1569927607,0
1569931207,0
1569934811,0
1569938416,0
1569945611,0
1569949207,0
1569952807,0
1569956408,0
1569960007,0
1569963607,0
1569967207,0
1569970806,0
1569974407,0
1569978007,0
1569981607,0
1569985206,0
1569988808,0
1569992408,0
1569996006,0
1569999607,0
1570003206,0
1570006807,0
1570010408,0
1570014007,0
1570017607,0
1570021207,0
1570024807,0
1570028407,0
1570032006,0
1570035607,0
1570039206,0
1570042807,0
1570046409,0
1570053609,0
1570057206,0
1570060806,0
1570064414,0
1570071608,0
1570075207,0
1570078806,0
1570082407,0
1570086014,0
1570089607,0
1570093207,0
1570096807,0
1570104013,0
1570107611,0
1570111208,0
1570114807,0
1570118407,0
1570122007,0
1570125611,0
1570129208,0
1570132806,0
1570136407,0
1570140007,0
1570143618,0
1570147206,0
1570150806,0
1570154406,0
1570161605,0
1570165209,0
1570168807,0
1570172406,0
1570176008,0
1570179608,0
1570183206,0
1570186806,0
1570190406,0
1570194006,0
1570197606,0
1570201206,0
1570204807,0
1570208408,0
1570212006,0
1570215606,0
1570219208,0
1570222806,0
1570226406,0
1570230010,0
1570233606,0
1570237206,0
1570240806,0
1570244407,0
1570251608,0
1570255207,0
1570258814,0
1570262406,0
1570266006,0
1570269610,0
1570273213,0
1570276807,0
1570280406,0
1570284006,0
1570287607,0
1570291208,0
1570294806,0
1570298406,0
1570302006,0
1570305606,0
1570309210,0
1570312811,0
1570316406,0
1570320011,0
1570323607,0
1570327207,0
1570330808,0
1570334406,0
1570338007,0
1570341607,0
1570345207,0
1570348807,0
1570352406,0
1570356007,0
1570359607,0
1570363208,0
1570366806,0
1570374013,0
1570377608,0
1570381207,0
1570384807,0
1570388408,0
1570392007,0
1570402807,0
1570406408,0
1570413608,0
1570417208,0
1570424407,0
1570428007,0
1570431607,0
1570435207,0
1570442408,0
1570446007,0
1570453207,0
1570456808,0
1570464008,0
1570467607,0
1570471210,0
1570474806,0
1570478409,0
1570482006,0
1570485606,0
1570489208,0
1570492806,0
1570496407,0
1570500006,0
1570503606,0
1570507206,0
1570510807,0
1570514407,0
1570518007,0
1570521606,0
1570525207,0
1570532407,0
1570536007,0
1570539607,0
1570543207,0
1570546806,0
1570550406,0
1570554007,0
1570557607,0
1570564826,0
1570568406,0
1570572006,0
1570575607,0
1570579200,0
1570582800,0
1570586400,0
1570590000,0
1570593600,0
1570597200,0
1570600801,0
1570604400,0
1570608000,0
