date,rain,
1568692800,0,
1568696400,0,
1568700001,0,
1568703600,0,
1568707204,0,
1568710807,0,
1568714406,0,
1568718006,0,
1568721606,0,
1568725206,0,
1568728806,0,
1568732406,0,
1568736007,0,
1568739606,0,
1568743206,0,
1568746811,0,
1568750407,0,
1568754007,0,
1568757606,0,
1568761206,0,
1568764807,0,
1568768406,0,
1568772007,0,
1568775607,0,
1568779206,0,
1568782807,0,
1568786407,0,
1568790006,0,
1568793606,0,
1568797206,0,
1568800806,0,
1568804406,0,
1568808007,0,
1568811607,0,
1568815206,0,
1568818807,0,
1568822407,0,
1568826006,0,
1568829606,0,
1568833207,0,
1568836807,0,
1568840406,0,
1568844007,0,
1568847606,0,
1568851207,0,
1568854807,0,
1568858407,0,
1568862006,0,
1568865606,0,
1568869206,0,
1568872807,0,
1568876407,0,
1568880007,0,
1568883606,0,
1568887207,0,
1568890806,0,
1568894406,0,
1568898007,0,
1568901606,0,
1568905206,0,
1568908806,0,
1568912406,0,
1568916006,0,
1568919606,0,
1568923206,0,
1568926807,0,
1568930406,0,
1568934006,0,
1568937607,0,
1568941207,0,
1568944807,0,
1568948407,0,
1568952007,0,
1568955607,0,
1568959206,0,
1568962807,0,
1568966406,0,
1568970006,0,
1568973607,0,
1568977212,0,
1568980807,0,
1568984407,0,
1568988006,0,
1568991606,0,
1568995206,0,
1568998807,0,
1569002407,0,
1569006006,0,
1569009606,0,
1569013206,0,
1569016806,0,
1569020407,0,
1569024006,0,
1569027606,0,
1569031206,0,
1569034806,0,
1569038406,0,
1569042007,0,
1569045606,0,
1569049207,0,
1569052807,0,
1569056406,0,
1569060006,0,
1569063607,0,
1569067206,0,
1569070807,0,
1569074407,0,
1569078006,0,
1569081606,0,
1569085206,0,
1569088806,0,
1569092407,0,
1569096006,0,
1569099606,0,
1569103207,0,
1569106807,0,
1569110407,0,
1569114007,0,
1569117607,0,
1569121206,0,
1569124807,0,
1569128406,0,
1569132008,0,
1569135608,0,
1569139206,0,
1569142806,0,
1569146407,0,
1569150007,0,
1569153606,0,
1569157206,0,
1569160806,0,
1569164408,0,
1569168007,0,
1569171607,0,
1569175206,0,
1569178807,0,
1569182407,0,
1569186006,0,
1569189606,0,
1569193206,0,
1569196806,0,
1569200406,0,
1569204011,0,
1569207606,0,
1569211208,0,
1569214807,0,
1569218406,0,
1569222006,0,
1569225606,0,
1569229206,0,
1569232807,0,
1569236406,0,
1569240006,0,
1569243606,0,
1569247207,0,
1569250807,0,
1569254406,0,
1569258006,0,
1569261607,0,
1569265207,0,
1569268807,0,
1569272407,0,
1569276006,0,
1569279607,0,
1569283206,0,
1569286807,0,
1569290406,0,
1569294006,0,
1569297607,0,
1569301207,0,
1569304807,0,
1569308407,0,
1569312006,0,
1569315606,0,
1569319206,0,
1569322807,0,
1569326406,0,
1569330006,0,
1569333606,0,
1569337207,0,
1569340807,0,
1569344407,0,
1569348006,0,
1569351606,0,
1569355207,0,
1569358806,0,
1569362406,0,
1569366007,0,
1569369606,0,
1569373206,0,
1569376807,0,
1569380407,0,
1569384007,0,
1569387606,0,
1569391206,0,
1569394806,0,
1569398406,0,
1569402006,0,
1569405607,0,
1569409206,0,
1569412806,0,
1569416406,0,
1569420006,0,
1569423607,0,
1569427206,0,
1569430807,0,
1569434411,0,
1569438007,0,
1569441607,0,
1569445206,0,
1569448807,0,
1569452407,0,
1569456007,0,
1569459606,0,
1569463206,0,
1569466807,0,
1569470407,0,
1569474006,0,
1569477606,0,
1569481206,0,
1569484806,0,
1569488408,0,
1569492006,0,
1569495606,0,
1569499207,0,
1569502807,0,
1569506406,0,
1569510006,0,
1569513608,0,
1569517207,0,
1569520806,0,
1569524407,0,
1569528007,0,
1569531607,0,
1569535206,0,
1569538807,0,
1569542406,0,
1569546007,0,
1569549607,0,
1569553207,0,
1569556808,0,
1569560406,0,
1569564007,0,
1569567607,0,
1569571207,0,
1569574806,0,
1569578407,0,
1569582006,0,
1569585606,0,
1569589206,0,
1569592807,0,
1569596408,0,
1569600006,0,
1569603606,0,
1569607206,0,
1569610806,0,
1569614406,0,
1569618006,0,
1569621606,0,
1569625207,0,
1569628806,0,
1569632406,0,
1569636007,0,
1569639606,0,
1569643207,0,
1569646806,0,
1569650406,0,
1569654006,0,
1569657607,0,
1569661211,0,
1569664806,0,
1569668407,0,
1569672006,0,
1569675607,0,
1569679206,0,
1569682806,0,
1569686406,0,
1569690006,0,
1569693606,0,
1569697206,0,
1569700806,0,
1569704406,0,
1569708006,0,
1569711607,0,
1569715206,0,
1569718806,0,
1569722406,0,
1569726006,0,
1569729607,0,
1569733207,0,
1569736806,0,
1569740406,0,
1569744007,0,
1569747606,0,
1569751206,0,
1569754807,0,
1569758407,0,
1569762007,0,
1569765606,0,
1569769207,0,
1569772807,0,
1569776406,0,
1569780007,0,
1569783606,0,
1569787206,0,
1569790807,0,
1569794407,0,
1569798007,0,
1569801606,0,
1569805206,0,
1569808806,0,
1569812407,0,
1569816006,0,
1569819606,0,
1569823208,0,
1569826806,0,
1569830407,0,
1569834006,0,
1569837607,0,
1569841206,0,
1569844807,0,
1569848406,0,
1569852006,0,
1569855606,0,
1569859206,0,
1569862806,0,
1569866406,0,
1569870007,0,
1569873607,0,
1569877207,0,
1569880807,0,
1569884407,0,
1569888006,0,
1569891611,0,
1569895206,0,
1569898807,0,
1569902407,0,
1569906006,0,
1569909607,0,
1569913206,0,
1569916806,0,
1569920407,0,
1569924006,0,
1569927606,0,
1569931207,0,
1569934806,0,
1569938406,0,
1569942006,0,
1569945607,0,
1569949207,0,
1569952808,0,
1569956407,0,
1569960007,0,
1569963606,0,
1569967206,0,
1569970806,0,
1569974406,0,
1569978007,0,
1569981606,0,
1569985206,0,
1569988807,0,
1569992406,0,
1569996007,0,
1569999607,0,
1570003206,0,
1570006806,0,
1570010407,0,
1570014007,0,
1570017607,0,
1570021207,0,
1570024807,0,
1570028406,0,
1570032007,0,
1570039207,0,
1570042807,0,
1570050006,0,
1570057208,0,
1570060807,0,
1570064407,0,
1570068006,0,
1570071607,0,
1570075207,0,
1570082407,0,
1570086007,0,
1570089606,0,
1570096808,0,
1570100407,0,
1570104007,0,
1570107607,0,
1570111206,0,
1570114807,0,
1570118407,0,
1570125607,0,
1570129206,0,
1570132806,0,
1570147207,0,
1570150807,0,
1570158008,0,
1570161608,0,
1570165207,0,
1570168806,0,
1570172407,0,
1570176006,0,
1570179607,0,
1570183207,0,
1570186808,0,
1570190406,0,
1570194007,0,
1570197607,0,
1570201207,0,
1570204807,0,
1570212007,0,
1570215607,0,
1570219206,0,
1570222806,0,
1570226407,0,
1570230007,0,
1570233607,0,
1570237207,0,
1570240806,0,
1570244407,0,
1570251606,0,
1570255206,0,
1570258806,0,
1570262406,0,
1570266007,0,
1570269606,0,
1570273207,0,
1570276806,0,
1570280406,0,
1570284006,0,
1570287607,0,
1570291206,0,
1570294807,0,
