date,rain
1567555466,0
1567555559,0
1567558800,0
1567561214,0
1567562400,2.54
1567565996,0.508
1567569600,0
1567573200,0
1567576800,0
1567580400,0
1567584000,0
1567587600,0
1567591200,0
1567594800,0.254
1567598400,0
1567602000,0
1567605600,0
1567609207,0
1567612810,0
1567616407,0
1567620006,0
1567623606,0
1567627206,0
1567630807,0
1567634410,0
1567638009,0
1567641606,0
1567645206,0
1567648810,0
1567652406,0
1567656000,0
1567659606,0
1567663207,0
1567666808,0
1567670406,0
1567674007,0
1567677606,0
1567681207,0
1567684807,0
1567688407,0
1567692006,0
1567695607,0
1567699207,0
1567702808,0
1567706407,0
1567710007,0
1567713609,0
1567717200,0
1567720800,0
1567724400,0
1567728000,0
1567731600,0
1567735200,0
1567738796,0
1567742400,0
1567746000,0
1567749600,0
1567753200,0
1567756800,0
1567760407,0
1567764010,0
1567767610,0
1567771207,0
1567774807,0
1567778406,0
1567782006,0
1567785606,0
1567789206,0
1567792808,0
1567796407,0
1567800007,0
1567803600,0
1567807200,0
1567810800,0
1567814396,0
1567818000,0
1567821600,0
1567825200,0
1567828800,0
1567832400,0
1567836000,0
1567839600,0
1567843200,0
1567846800,0
1567850400,0
1567854000,0
1567857606,0
1567861207,0
1567864806,0
1567868407,0
1567872007,0
1567875607,0
1567879207,0
1567882811,0
1567886400,0
1567890000,0
1567893600,0
1567897200,0
1567900800,0
1567904400,0
1567908000,0
1567911600,0
1567915200,0
1567918800,0
1567922400,0
1567926000,0
1567929600,0
1567933200,0
1567936800,0
1567940407,0
1567944007,0
1567947606,0
1567951207,0
1567954811,0
1567958413,0
1567962006,0
1567965607,0
1567969206,0
1567972800,0.254
1567976406,0
1567980000,0
1567983600,0
1567987200,0
1567990800,0
1567994400,0
1567998000,0
1568001600,0
1568005200,0
1568008800,0
1568012400,0
1568016000,0
1568019600,0
1568023200,0
1568026800,0
1568030406,0
1568034006,0
1568037610,0
1568041207,0
1568044807,0
1568048406,0
1568052009,0
1568055607,0
1568059198,0
1568062800,0
1568066400,0
1568070000,0.254
1568073600,0
1568077200,0
1568080800,0
1568084400,0
1568088000,0
1568091600,0
1568095200,0
1568098800,0
1568102400,0
1568106001,0
1568109600,0
1568116806,0
1568124011,0
1568127610,0
1568131210,0
1568134810,0
1568138410,0
1568142011,0
1568145602,0
1568149200,0
1568152793,0
1568156400,0
1568159997,0
1568163600,0
1568167200,0
1568170800,0
1568178000,0
1568181601,0
1568185201,0
1568188800,0
1568192400,0
1568196016,0
1568199605,0
1568203211,0
1568206811,0
1568214011,0
1568217611,0
1568221210,0
1568224810,0
1568228412,0
1568231996,0
1568235600,0
1568242800,0
1568250000,0
1568253600,0
1568257200,0
1568260800,0
1568264395,0
1568268000,0
1568275200,0
1568278800,0
1568282400,0
1568286006,0
1568293210,0
1568296811,0
1568300409,0
1568304011,0
1568314810,0
1568318400,0
1568322000,0
1568325600,0
1568329200,0
1568332800,0
1568336400,0
1568340000,0
1568343600,0
1568347200,0
1568350800,0
1568354400,0
1568358000,0
1568361600,0
1568365200,0
1568368806,0
1568372406,0
1568376007,0.254
1568379607,0
1568383207,0
1568386806,0
1568390408,0
1568394006,0
1568397608,0
1568401207,0.254
1568404800,0
1568408400,0
1568412000,0
1568415600,0
1568419200,0
1568422800,0
1568426400,0
1568430000,0
1568433600,0
1568437200,0
1568440800,0
1568444400,0
1568448000,0
1568451600,0
1568455206,0
1568458807,0
1568462406,0
1568466007,0
1568469606,0
1568473207,0
1568476807,0
1568480406,0
1568484006,0
1568487607,0
1568491200,0
1568494800,0
1568498400,0
1568502000,0
1568505600,0
1568509200,0
1568512800,0
1568516400,0
1568520000,0
1568523600,0
1568527200,0
1568530800,0
1568534400,0
1568538006,0
1568541606,0
1568545206,0
1568548807,0
1568552407,0
1568556007,0
1568559607,0
1568563207,0
1568566807,0
1568570407,0
1568574006,0
1568577600,0
1568581200,0
1568584800,0
1568588400,0
1568592000,0
1568595600,0
1568599200,0
1568602800,0
1568606400,0
1568610000,0
1568613600,0
1568617200,0.254
1568620800,0.508
1568624400,0
1568628006,0
1568631607,0
1568635207,0
1568638807,0
1568642411,0
1568646007,0
1568649607,0
1568653206,0
1568656806,0
1568660407,0
1568664000,0
1568667600,0
1568671200,0
1568674800,0
1568678400,0
1568682000,0
1568685600,0
1568689200,0
1568692800,0
1568696400,0
1568700000,0
1568703600,0
1568707200,0
1568710800,0
1568714407,0
1568718007,0
1568721606,0
1568725204,0
1568728806,0
1568732407,0
1568736007,0
1568739606,0
1568743207,0
1568746807,0
1568750400,0
1568754000,0
1568757600,0
1568761200,0
1568764800,0
1568768400,0
1568772000,0
1568775600,0
1568779200,0
1568782800,0
1568786400,0
1568790000,0
1568793600,0
1568797200,0
1568800806,0
1568804406,0
1568808020,0
1568811611,0
1568815208,0
1568818807,0
1568822407,0
1568826007,0
1568829608,0
1568833206,0
1568836800,0
1568840400,0
1568844000,0
1568847600,0
1568851200,0
1568854800,0
1568858400,0
1568862000,0
1568865600,0
1568869200,0
1568872800,0
1568876400,0
1568880000,0
1568883600,0
1568887206,0
1568890807,0
1568894406,0
1568898006,0
1568901607,0
1568905207,0
1568908811,0
1568912408,0
1568916010,0
1568919606,0
1568923200,0
1568926800,0
1568930400,0
1568934000,0
1568937599,0
1568941200,0
1568944800,0
1568948400,0
1568952000,0.508
1568955600,0.254
1568959200,0
1568962800,0.254
1568966400,0.508
1568970000,0
1568973606,0
1568977206,0
1568980810,0
1568984410,0
1568988010,0
1568991612,0
1568995207,0
1568998809,0
1569002406,0
1569006006,0
1569009610,0
1569013200,0
1569016800,0
1569020400,0
1569024000,0
1569027600,0
1569031200,0
1569034800,0
1569038400,0
1569042000,0
1569045600,0
1569049200,1.016
1569052800,0
1569056406,0
1569060007,0
1569063608,0
1569067206,0
1569070808,0
1569074406,0
1569078007,0.762
1569081607,2.794
1569085213,0.762
1569088806,1.778
1569092408,0
1569096000,0
1569099600,0
1569103200,0
1569106800,0
1569110400,0
1569114000,0
1569117600,0
1569121200,0
1569124800,0
1569128400,0
1569132000,0
1569135600,0
1569139200,0
1569142800,0
1569146406,0
1569150006,0
1569153619,0
1569157207,0
1569160807,0
1569164410,0
1569168007,0
1569171606,0
1569175206,0
1569178810,0
1569182400,0
1569186000,0
1569189600,0
1569193200,0
1569196800,0
1569200400,0
1569204000,0
1569207600,0
1569211200,0
1569214800,0
1569218400,0
1569222000,0
1569225600,0
1569229207,0
1569232817,0
1569236406,0
1569240006,0
1569243608,0
1569247206,0
1569250807,0
1569254411,0.508
1569258010,0
1569261606,0
1569265206,0
1569268809,0
1569272400,4.572
1569276000,0
1569279600,5.08
1569283200,2.794
1569286800,3.81
1569290400,0
1569294000,0
1569297600,0
1569301200,0
1569304800,0
1569308407,0
1569312007,0
1569315606,0
1569319206,0
1569322807,0
1569326408,0
1569330006,0
1569333606,0
1569337207,0
1569340808,0
1569344406,0
1569348013,0
1569355193,0
1569362400,0
1569365999,0
1569369600,0
1569373200,0
1569376800,0
1569383993,0
1569387600,0
1569391200,0
1569394800,0
1569402001,0
1569405608,0
1569430809,0.254
1569434410,0.762
1569441611,0
1569445203,0
1569456001,0
1569459600,0
1569463200,0
1569474000,0
1569477597,0
1569484800,0
1569499209,0
1569502810,0
1569506410,0
1569510016,0
1569513610,0
1569517210,0.254
1569520809,0
1569531596,0
1569535200,0
1569538800,0
1569542401,0
1569545995,17.526
1569549600,21.844
1569553200,0.762
1569556798,0
1569560400,0
1569564000,0
1569567607,0
1569571205,0
1569574810,0
1569582010,0
1569585609,0
1569592811,0
1569596407,0
1569600007,0
1569603606,0
1569607207,0
1569610811,0
1569614400,0
1569618000,0
1569621600,0
1569625200,0
1569628800,0
1569632400,0
1569636000,0
1569639600,0
1569643200,0
1569646800,0
1569650400,0
1569654000,0.508
1569657600,0
1569661200,0
1569664806,0
1569668406,0
1569672007,0
1569675607,0
1569679208,0
1569682814,2.032
1569686407,0
1569690007,0.254
1569693613,2.54
1569697200,0
1569700800,0
1569704400,0
1569708000,0
1569711595,0
1569715200,0
1569718800,0
1569722400,0
1569726000,0
1569729600,0
1569733200,0
1569736800,0
1569740400,0
1569744000,0
1569747607,0
1569751200,0
1569754807,0
1569758407,0
1569762010,0
1569765606,0
1569769208,0
1569772810,0
1569776417,0
1569780006,0
1569783607,0
1569787206,0
1569790800,0
1569794400,0
1569798000,0
1569801600,0
1569805200,0
1569808800,0
1569812400,0
1569816000,0
1569819600,0
1569823200,0.254
1569826800,0
1569830400,0
1569834010,0
1569837606,0.254
1569841207,0
1569844807,0
1569848406,0
1569852007,0
1569855611,0
1569859206,0
1569862807,0
1569866408,0
1569870008,0
1569873600,0
1569877200,0.254
1569880800,0.762
1569884400,1.27
1569888000,0
1569891600,0
1569895200,0
1569898800,0
1569902400,0.762
1569906000,0
1569909600,0
1569913200,0
1569916800,0.254
1569920400,0
1569924006,0
1569927606,0
1569931206,0
1569934807,0
1569938407,2.794
1569942010,0
