date,rain
1568692807,0
1568696406,0
1568700007,0
1568703606,0
1568707207,0
1568710811,0
1568714406,0
1568718011,0
1568721607,0
1568725207,0
1568728807,0
1568732407,0
1568736006,0
1568739607,0
1568743207,0
1568746807,0
1568750406,0
1568754007,0
1568757606,0
1568761206,0
1568764806,0
1568768406,0
1568772007,0
1568775607,0
1568779207,0
1568782807,0
1568786406,0
1568790007,0
1568793606,0
1568797207,0
1568800806,0
1568804411,0
1568808006,0
1568811608,0
1568815213,0
1568818807,0
1568822406,0
1568826006,0
1568829607,0
1568833208,0
1568836806,0
1568840406,0
1568844007,0
1568847608,0
1568851211,0
1568854807,0
1568858406,0
1568862006,0
1568865607,0
1568869209,0
1568872807,0
1568876406,0
1568880008,0
1568883606,0
1568887206,0
1568890806,0
1568894407,0
1568898007,0
1568901608,0
1568905206,0
1568908808,0
1568912407,0
1568916006,0
1568919606,0
1568923207,0
1568926809,0
1568930407,0
1568934006,0
1568937607,0
1568941208,0
1568944806,0
1568948406,0
1568952007,0
1568955607,0
1568959207,0
1568962806,0
1568966407,0
1568970007,0
1568973606,0
1568977206,0
1568980806,0
1568984406,0
1568988013,0
1568991606,0
1568995208,0
1568998808,0
1569002406,0
1569006011,0
1569009607,0
1569013208,0
1569016815,0
1569020407,0
1569024006,0
1569027607,0
1569031206,0
1569034806,0
1569038407,0
1569042014,0
1569045607,0
1569049209,0
1569052807,0
1569056407,0
1569060007,0
1569063606,0
1569067211,0
1569070806,0
1569074407,0
1569078007,0
1569085207,0
1569092407,0
1569096006,0
1569099607,0
1569106808,0
1569110407,0
1569114006,0
1569117607,0
1569124808,0
1569128408,0
1569132008,0
1569135608,0
1569139207,0
1569146407,0
1569150006,0
1569153608,0
1569157207,0
1569160811,0
1569164406,0
1569171607,0
1569178806,0
1569182407,0
1569186007,0
1569189607,0
1569196805,0
1569200407,0
1569204007,0
1569207606,0
1569211207,0
1569214807,0
1569218406,0
1569222006,0
1569225607,0
1569229208,0
1569232806,0
1569236407,0
1569240006,0
1569243607,0
1569247206,0
1569250806,0
1569254406,0
1569258009,0
1569261606,0
1569265206,0
1569268806,0
1569272413,0
1569276007,0
1569279606,0
1569283207,0
1569286806,0
1569290407,0
1569294007,0
1569297606,0
1569301207,0
1569308406,0
1569312006,0
1569315607,0
1569319207,0
1569322806,0
1569326408,0
1569330007,0
1569337207,0
1569340807,0
1569344407,0
1569348011,0
1569351606,0
1569355208,0
1569362407,0
1569366008,0
1569369608,0
1569373206,0
1569376806,0
1569384007,0
1569387606,0
1569394807,0
1569398407,0
1569402009,0
1569405607,0
1569409208,0
1569412808,0
1569427208,0
1569438007,0
1569441606,0
1569448806,0
1569456007,0
1569463208,0
1569466806,0
1569477617,0
1569481207,0
1569484809,0
1569488411,0
1569492006,0
1569495607,0
1569499215,0
1569502808,0
1569510011,0
1569513606,0
1569520808,0
1569524407,0
1569531606,0
1569535208,0
1569538808,0
1569542408,0
1569546006,0
1569549606,0
1569553208,0
1569556807,0
1569560408,0
1569564008,0
1569567607,0
1569571207,0
1569574807,0
1569578407,0
1569582007,0
1569585607,0
1569589206,0
1569592807,0
1569596406,0
1569600006,0
1569603606,0
1569607207,0
1569610811,0
1569614406,0
1569618007,0
1569621606,0
1569625207,0
1569628806,0
1569632406,0
1569636006,0
1569639606,0
1569643208,0
1569646807,0
1569650406,0
1569654006,0
1569657610,0
1569661207,0
1569664806,0
1569668406,0
1569672006,0
1569675607,0
1569679207,0
1569682807,0
1569686409,0
1569690007,0
1569693609,0
1569697207,0
1569700807,0
1569704406,0
1569708007,0
1569711607,0
1569718808,0
1569722408,0
1569729607,0
1569736807,0
1569740408,0
1569744007,0
1569747608,0
1569751209,0
1569754806,0
1569758406,0
1569762007,0
1569769207,0
1569772808,0
1569776407,0
1569780006,0
1569783607,0
1569787208,0
1569790807,0
1569798016,0
1569801607,0
1569805211,0
1569808808,0
1569812407,0
1569816006,0
1569819607,0
1569823206,0
1569830407,0
1569837606,0
1569848406,0
1569852006,0
1569855607,0
1569859211,0
1569866408,0
1569873610,0
1569880806,0
1569884407,0
1569888007,0
1569891607,0
1569895209,0
1569898807,0
1569902408,0
1569906006,0
1569909607,0
1569913208,0
1569916807,0
1569920407,0
1569924006,0
1569927606,0
1569931208,0
1569934806,0
1569938406,0
1569942007,0
1569945608,0
1569949206,0
1569952807,0
1569956413,0
1569960007,0
1569963608,0
1569967207,0
1569970807,0
1569974407,0
1569978007,0
1569981606,0
1569985206,0
1569988807,0
1569992407,0
1569996008,0
1569999606,0
1570003209,0
1570006806,0
1570010407,0
1570014006,0
1570017608,0
1570021207,0
1570024814,0
1570028406,0
1570032007,0
1570035606,0
1570039207,0
1570042807,0
1570046408,0
1570050006,0
1570053606,0
