OBJECTID,subcatchments_recon_aa_20211027_Id,curve_number_numerical,AREA,PERCENTAGE
1,1,,3663.375425889242251,3.455805626113289
2,1,42,16350.382853494886149,15.423957002850248
3,1,60,84637.911771107508685,79.842259576787541
4,1,79,1143.499999944586307,1.078708369702462
5,2,,295.426688303283527,0.240613900977511
6,2,42,47720.145153178789769,38.866259329732330
7,2,60,74104.202558574863360,60.355079491469823
8,4,,11301.192781522464429,4.204315457545818
9,4,42,97567.077162524103187,36.297298753513019
10,4,60,159655.302976998937083,59.395611698867931
11,5,,2586.929971404791104,0.323788956170816
12,5,42,126821.816411259438610,15.873450000345290
13,5,60,301617.703391649934929,37.751497884880244
14,5,62,199285.307528366742190,24.943227075354500
15,5,79,168267.613061505195219,21.060946911119281
16,6,36,75110.732572406501276,20.778136876173519
17,6,60,2594.087147630423260,0.717611131940802
18,6,62,107687.125990589091089,29.789855151222550
19,6,79,176042.877678870136151,48.699338739119433
20,7,36,44530.993335400700744,15.742048787908502
21,7,60,177.553284747777354,0.062766452342552
22,7,62,20331.955834811768000,7.187502831893156
23,7,79,217443.334776811272604,76.867891961909308
24,9,36,5033.643058165669572,76.434268879242822
25,9,39,235.500000033760443,3.575992599324612
26,9,55,929.668099495283172,14.116714408266336
27,9,73,307.499999884981662,4.669289697339176
28,9,74,54.272942581198613,0.824117371490927
29,10,36,32249.815242012999079,37.875286850507898
30,10,79,52766.920616623858223,61.971277651507549
31,11,36,21807.771701614965423,31.514274619284350
32,11,39,49.861828628156267,0.072055016986951
33,11,55,7.187758098035359,0.010386984314482
34,11,62,665.333066092779859,0.961468656450837
35,11,79,46563.032150947627088,67.287946810396150
36,12,36,21152.922011096525239,23.761638147288302
37,12,55,5837.234493844005556,6.557120276377401
38,12,62,17619.596758770712768,19.792560208155397
39,12,73,0.381624315137996,0.000428688711647
40,12,79,44390.643886553589255,49.865187258956077
41,14,36,899.310377973576919,1.102678326522320
42,14,55,15724.700232858398522,19.280647218710158
43,14,62,47920.599457624004572,58.757251901113669
44,14,79,16931.983286288130330,20.760942442250620
45,18,62,894.080620814100257,80.150670703706879
46,18,79,183.036447873875090,16.408468899546254
47,19,55,11133.126337469175269,59.976870455570129
48,19,62,7429.239876405322320,40.023129545461479
49,20,62,609.485915827674944,43.610159326171392
50,20,79,71.790328927786575,5.136767891293188
51,20,94,690.754688317227874,49.425132280384574
52,21,55,13639.501075476395272,19.373076468669627
53,21,62,54400.670156791791669,77.268833886403044
54,21,74,100.592092706211048,0.142877535868581
55,21,79,2052.972845626304661,2.915971757788914
56,21,94,137.989476762687332,0.195995489160653
57,27,42,864.645285340598093,0.143195233144144
58,27,55,41772.837075995135820,6.918063679527471
59,27,60,104912.746419732298818,17.374761000920969
60,27,62,261969.038440447271569,43.385094641729452
61,27,73,1677.437117608222252,0.277802936317326
62,27,74,473.259036215713252,0.078377155554357
63,27,79,187100.763267196394736,30.986044649442178
64,27,86,143.804511624461981,0.023815685944709
65,28,55,2140.721020223320011,55.232938625675153
66,28,74,1735.084021838937360,44.767061370108969
67,29,55,1857.404824389466512,28.898532064835990
68,29,73,1005.970906073088486,15.651452017198780
69,29,74,1588.811409930648324,24.719607094780898
70,29,86,1975.145639601998710,30.730408820554938
71,30,55,5029.462255861267295,64.518097132809146
72,30,73,1580.495883603209904,20.274650002091530
73,30,74,1166.970553423500405,14.969934296487194
74,31,55,6471.507522386318669,56.083129900735827
75,31,73,169.719699866446661,1.470818343546325
76,31,74,3829.429807837600947,33.186457500942922
77,31,86,1107.476991031404623,9.597574558205480
78,32,36,90848.361361041854252,11.229367235072480
79,32,39,3093.071094870419984,0.382320943252392
80,32,42,9302.268838065085220,1.149812625534030
81,32,55,238958.807729249791009,29.536649487631987
82,32,60,1791.724536862747300,0.221467206530705
83,32,61,1205.527105644143603,0.149009914744783
84,32,62,384734.420852640294470,47.555333249850925
85,32,68,1474.000000049053824,0.182194670955790
86,32,73,30904.658819851814769,3.819989243213334
87,32,74,25911.450788218429807,3.202800712475902
88,32,79,17454.014589755479392,2.157414141745061
89,32,86,1599.572857459833585,0.197716180749666
90,32,89,551.000000222120434,0.068106691813954
91,33,55,11072.308275479041185,15.052374062992966
92,33,62,56265.656788350082934,76.490980182863680
93,33,73,1471.475377414924651,2.000413757841737
94,33,74,1686.171818797334481,2.292285250693724
95,33,79,3102.910401648917286,4.218286457306077
96,37,55,3476.794291923971741,85.457032700846440
97,37,74,591.676355934476305,14.542967300325937
98,38,55,7191.685634497644969,85.802353168510166
99,38,74,1198.489726014056487,14.298906260169449
100,39,36,943.954928314225299,2.843755355558799
101,39,55,18129.174827677372377,54.615889447327092
102,39,62,9943.050970783719094,29.954401000116277
103,39,73,2399.466709961781362,7.228625119977604
104,39,74,600.796166528937420,1.809956455460263
105,39,79,1204.457765175647410,3.628545301818106
106,40,62,52474.669778752984712,99.513576558864827
107,41,36,6260.287996173788088,9.151328102725895
108,41,39,625.540586142230268,0.914419136764600
109,41,55,20737.218584871734492,30.313795679063553
110,41,62,37042.421971296644188,54.148843852893528
111,41,73,808.834498595970445,1.182359323082176
112,41,74,2560.995279294512784,3.743678898587467
113,41,79,2.555576384660151,0.003735757524557
114,42,,3383.054544232189983,0.715707283064041
115,42,36,90708.443618154939031,19.189963650926501
116,42,39,11465.660482448887706,2.425635355604550
117,42,42,130598.533282566771959,27.628972635742244
118,42,55,32435.682659126148792,6.861980499211641
119,42,60,10436.970422687600148,2.208009255238547
120,42,61,33325.747850441417540,7.050279603319258
121,42,62,144242.049287614005152,30.515347550406620
122,42,73,6603.990177283311823,1.397117251692960
123,42,74,2068.179515461581104,0.437536883472170
124,42,79,7202.859968728125750,1.523812067203649
125,42,80,104.999999849591404,0.022213435707739
126,44,,626.345990474471137,3.923552568675245
127,44,36,1559.758820076019674,9.770631277430633
128,44,39,1.839402319126142,0.011522372305070
129,44,55,1497.506288228218182,9.380669363484392
130,44,62,5477.269808636654489,34.310678688506158
131,44,73,4521.141818397632960,28.321307815000875
132,44,74,84.820484734021917,0.531331940837283
133,44,79,2195.064004702845068,13.750305973116067
134,45,42,738.249107718127789,19.426146541766840
135,45,55,191.652257752723585,5.043101041696604
136,45,60,18.117248771983189,0.476733836720828
137,45,61,293.049552273514507,7.711250155195638
138,45,62,1102.596398878982882,29.013511831057475
139,45,73,433.702568047328953,11.412366847918827
140,45,74,272.771197292301053,7.177649380914137
141,45,79,688.119959018370537,18.107057661774153
142,50,,5072.504061362286848,4.142808909421380
143,50,0,12067.663095992398667,9.855886084110173
144,50,36,72871.390875948971370,59.515427432054565
145,50,39,25501.673386021680926,20.827693468695106
146,50,42,2399.989937527905568,1.960116655489089
147,50,61,907.858306626373860,0.741464853588281
148,50,77,1697.437203311229496,1.386328701562931
149,50,80,1598.260336671467030,1.305329100231245
150,55,,3002.065959743293206,5.103097825344596
151,55,0,4040.361311081113854,6.868056630557029
152,55,36,4737.890497066255193,8.053759982797677
153,55,39,987.833396674006849,1.679180446388642
154,55,42,20886.593918486876646,35.504327164550467
155,55,55,6041.680046167108230,10.270022284140484
156,55,60,2527.999999991152436,4.297251118202987
157,55,61,8375.857091428528292,14.237801128234032
158,55,62,730.225270490149228,1.241282183609515
159,55,73,5275.576765431208514,8.967752434530974
160,55,74,802.728802629377583,1.364528182248778
161,55,79,1442.492070563950392,2.452037445906476
162,62,,1922.309453891372186,4.672692796477211
163,62,0,6386.595163603880792,15.524346069555575
164,62,36,14129.708947267488838,34.346077360522273
165,62,39,1966.200385153467778,4.779381570193589
166,62,55,1074.180693779358080,2.611086565577144
167,62,62,15631.743496251663601,37.997178385328894
168,62,73,28.483666627776866,0.069237251889618
169,97,,588.945855316064240,0.328822993843519
170,97,0,3639.678182876473784,2.032122080353382
171,97,36,56732.702320372518443,31.675266677624631
172,97,39,9531.331647502700434,5.321577491984150
173,97,42,25592.189209560649033,14.288750313696291
174,97,55,26197.958018867237115,14.626965977590075
175,97,60,158.305040501429545,0.088385607757209
176,97,61,2712.908962169781717,1.514683971223204
177,97,62,52714.311587169613631,29.431700041748194
178,97,73,607.016333122798187,0.338912187203076
179,122,36,1449.172429389956278,3.341137195655647
180,122,55,421.376773472530658,0.971504551619918
181,122,62,41093.277507789171068,94.742540768920861
182,122,73,65.449030622429447,0.150895908725132
183,122,79,344.352593218894071,0.793921575025032
184,127,,3952.315092354764147,4.107073117743104
185,127,0,17589.631560371271917,18.278376405856164
186,127,36,55873.492896391377144,58.061292004038748
187,127,39,5477.354351081734421,5.691827267313879
188,127,62,5776.632922949866042,6.002824479963699
189,127,77,437.980381467776738,0.455130071563564
190,127,79,61.262533329921268,0.063661347307776
191,127,80,5402.841127256636355,5.614396381532425
192,136,36,6763.804721898080061,2.614209149926979
193,136,39,554.124101775442455,0.214168852682358
194,136,55,15145.711674456415494,5.853814483042736
195,136,62,228079.785106485011056,88.152790574863189
196,136,73,943.050969182275708,0.364489007865972
197,136,74,1437.499999518273398,0.555593457568973
198,136,79,3049.884873149573195,1.178779883428403
199,136,80,552.500000063097104,0.213541137700718
200,139,,5487.842576413720053,34.397337319517966
201,139,36,2226.430136566290457,13.955077493468840
202,139,39,582.422039207329476,3.650572527542875
203,139,55,4829.772092795653407,30.272606682688842
204,139,62,941.343085404567546,5.900259563060700
205,139,73,488.257100448425433,3.060354583594770
206,139,74,675.382777077488072,4.233242641247330
207,232,0,188.719051106917846,1.608758174637948
208,232,36,10175.509375352825373,86.742349501479993
209,232,39,1359.952434064789486,11.593077554109774
210,242,,571.230430114081173,2.585154750252827
211,242,36,11867.157805519091198,53.705891275453865
212,242,39,1372.440160946926198,6.211101535331601
213,242,55,4658.431856584924390,21.082152854452339
214,242,62,2755.251534804639959,12.469138928609096
215,242,73,498.500000314321369,2.256006640886123
216,242,74,303.364134813782130,1.372901709759345
