OBJECTID,subcatchments_recon_aa_20211027_Id,subcatchments_recon_aa_20211027_Shape_Area,gridcode_float,AREA,PERCENTAGE
1,1,0.000007968829914,11,0.000000008883700,0.111480609482792
2,1,0.000007968829914,13,0.000000017767400,0.222961219007605
3,1,0.000007968829914,15,0.000000008883700,0.111480609726512
4,1,0.000007968829914,16,0.000000008883700,0.111480609726512
5,1,0.000007968829914,17,0.000000008883700,0.111480609625663
6,1,0.000007968829914,18,0.000000044418501,0.557403047901401
7,1,0.000007968829914,19,0.000000031791387,0.398946735767627
8,1,0.000007968829914,20,0.000000031940292,0.400815328844034
9,1,0.000007968829914,21,0.000000035534801,0.445922438242122
10,1,0.000007968829914,22,0.000000062092702,0.779194722785664
11,1,0.000007968829914,23,0.000000073964982,0.928178700544868
12,1,0.000007968829914,24,0.000000070680848,0.886966450135905
13,1,0.000007968829914,25,0.000000062508911,0.784417683109766
14,1,0.000007968829914,26,0.000000143400110,1.799512748285431
15,1,0.000007968829914,27,0.000000118566330,1.487876285138085
16,1,0.000007968829914,28,0.000000099701852,1.251147951779608
17,1,0.000007968829914,29,0.000000098278201,1.233282706513268
18,1,0.000007968829914,30,0.000000195085357,2.448105413845014
19,1,0.000007968829914,31,0.000000153096742,1.921194754136062
20,1,0.000007968829914,32,0.000000186401090,2.339127470000955
21,1,0.000007968829914,33,0.000000247748817,3.108973580067506
22,1,0.000007968829914,34,0.000000177512960,2.227591281965556
23,1,0.000007968829914,35,0.000000384049744,4.819399442695159
24,1,0.000007968829914,36,0.000000133255502,1.672209143124319
25,1,0.000007968829914,37,0.000000358678945,4.501023979186923
26,1,0.000007968829914,38,0.000000333634385,4.186742453619201
27,1,0.000007968829914,39,0.000000462876440,5.808587271742790
28,1,0.000007968829914,40,0.000000417533908,5.239588649994153
29,1,0.000007968829914,41,0.000000262766600,3.297430150397609
30,1,0.000007968829914,42,0.000000426591540,5.353251916567519
31,1,0.000007968829914,43,0.000000488603509,6.131433524932037
32,1,0.000007968829914,44,0.000000468099225,5.874127447671095
33,1,0.000007968829914,45,0.000000328696906,4.124782554266988
34,1,0.000007968829914,46,0.000000305004112,3.827464200625811
35,1,0.000007968829914,47,0.000000239859904,3.009976459136517
36,1,0.000007968829914,48,0.000000164901216,2.069327837170683
37,1,0.000007968829914,49,0.000000252285366,3.165902256841508
38,1,0.000007968829914,50,0.000000133255503,1.672209144477384
39,1,0.000007968829914,51,0.000000088837002,1.114806095248130
40,1,0.000007968829914,52,0.000000079731894,1.000547068754935
41,1,0.000007968829914,53,0.000000112708929,1.414372371838594
42,1,0.000007968829914,54,0.000000097720702,1.226286705319211
43,1,0.000007968829914,55,0.000000015767246,0.197861492014110
44,1,0.000007968829914,56,0.000000026651100,0.334441828759330
45,1,0.000007968829914,57,0.000000019767529,0.248060621181883
46,1,0.000007968829914,59,0.000000017767400,0.222961219032818
47,2,0.000009229868198,8,0.000000008883700,0.096249480070153
48,2,0.000009229868198,9,0.000000008883700,0.096249480338621
49,2,0.000009229868198,10,0.000000008883700,0.096249480041129
50,2,0.000009229868198,11,0.000000026651100,0.288748440653068
51,2,0.000009229868198,12,0.000000008883700,0.096249480338621
52,2,0.000009229868198,14,0.000000026651100,0.288748440442647
53,2,0.000009229868198,16,0.000000042733426,0.462990643595868
54,2,0.000009229868198,17,0.000000022762098,0.246613469861607
55,2,0.000009229868198,18,0.000000008883700,0.096249480309598
56,2,0.000009229868198,19,0.000000036500356,0.395459125270843
57,2,0.000009229868198,20,0.000000039129309,0.423942234416504
58,2,0.000009229868198,21,0.000000039838871,0.431629896983244
59,2,0.000009229868198,22,0.000000044511700,0.482257154871951
60,2,0.000009229868198,23,0.000000077057921,0.834875636311527
61,2,0.000009229868198,24,0.000000079010784,0.856033721702523
62,2,0.000009229868198,25,0.000000079298011,0.859145646517382
63,2,0.000009229868198,26,0.000000053590057,0.580615620804833
64,2,0.000009229868198,27,0.000000087127930,0.943978056137611
65,2,0.000009229868198,28,0.000000128207176,1.389046661702760
66,2,0.000009229868198,29,0.000000125343191,1.358017125689601
67,2,0.000009229868198,30,0.000000161364014,1.748280802628382
68,2,0.000009229868198,31,0.000000159906603,1.732490644542416
69,2,0.000009229868198,32,0.000000297837826,3.226891434850556
70,2,0.000009229868198,33,0.000000178943185,1.938740418161014
71,2,0.000009229868198,34,0.000000275030127,2.979783903542075
72,2,0.000009229868198,35,0.000000301981229,3.271782675093217
73,2,0.000009229868198,36,0.000000304173769,3.295537518418217
74,2,0.000009229868198,37,0.000000269630670,2.921284078331317
75,2,0.000009229868198,38,0.000000408434972,4.425144139983455
76,2,0.000009229868198,39,0.000000481974119,5.221896011199406
77,2,0.000009229868198,40,0.000000472867266,5.123228807004746
78,2,0.000009229868198,41,0.000000545651205,5.911798450843745
79,2,0.000009229868198,42,0.000000487542407,5.282225015576041
80,2,0.000009229868198,43,0.000000317815437,3.443336681860077
81,2,0.000009229868198,44,0.000000393621429,4.264648426400538
82,2,0.000009229868198,45,0.000000525027662,5.688354923915202
83,2,0.000009229868198,46,0.000000408428805,4.425077331957402
84,2,0.000009229868198,47,0.000000345209093,3.740130256058761
85,2,0.000009229868198,48,0.000000334796004,3.627310773359600
86,2,0.000009229868198,49,0.000000274704375,2.976254579603865
87,2,0.000009229868198,50,0.000000226056045,2.449179560837739
88,2,0.000009229868198,51,0.000000159906603,1.732490643758779
89,2,0.000009229868198,52,0.000000151244310,1.638639976740530
90,2,0.000009229868198,53,0.000000091616175,0.992605453874611
91,2,0.000009229868198,54,0.000000035534801,0.384997920512799
