OBJECTID,subcatchments_recon_aa_20211027_Id,AREA,PERCENTAGE
1,7,0.000000138620122,0.651799859902457
2,9,0.000000157578045,31.825959104641381
3,10,0.000000301152676,4.704323194219487
4,11,0.000000102864746,1.977154214419297
5,12,0.000000006442895,0.096263371991730
6,14,0.000000001357465,0.022137958295852
7,19,0.000000002929828,0.209930589077592
8,21,0.000000033406453,0.631095375102589
9,27,0.000000199743295,0.439998296293032
10,28,0.000000080892360,27.759164622643475
11,29,0.000000096067348,19.879517850471910
12,30,0.000000183146216,31.247750514999282
13,31,0.000000215294915,24.815292909721187
14,32,0.000007969934586,13.102533182887207
15,33,0.000000088129387,1.593483141142193
16,37,0.000000165238929,54.017309788577897
17,38,0.000000273630812,43.419589482188940
18,39,0.000000544618416,21.821607709822249
19,41,0.000001047169698,20.359070810112510
20,42,0.000008968111193,25.232900663768593
21,44,0.000000048605790,4.049436877297643
22,45,0.000000064402192,22.538181075645827
23,50,0.000002730360543,29.656450395544109
24,55,0.000001206644540,27.278905111048669
25,62,0.000000304932640,9.857653023397479
26,97,0.000002713039065,20.145274336116817
27,122,0.000000083201485,2.551149352660559
28,127,0.000000998986179,13.805717419215673
29,136,0.000000744999884,3.829467666605966
30,139,0.000000421193535,35.109376712171482
31,232,0.000000229458045,26.013364867939071
32,242,0.000000631814517,38.026249548912283
