OBJECTID,subcatchments_recon_aa_20211027_Id,length_1,LENGTH,PERCENTAGE
1,1,,628.102679297316740,1.198775387515178
2,2,,334.137967594273675,0.637724347927440
3,4,,1219.662060438888830,2.327805480428614
4,5,,3245.081383030995312,6.193451836271909
5,6,,1439.791157344983503,2.747936379634758
6,7,,530.117607838012418,1.011764416409722
7,9,,27.599868598565763,0.052676169462656
8,10,,556.360681662177626,1.061851053563297
9,11,,492.502831739710075,0.939974135489436
10,12,,599.621010051630719,1.144416243361752
11,14,,404.080412785902354,0.771214117358379
12,19,,236.113061724188555,0.450637350221885
13,21,,404.860484444366875,0.772702935565160
14,27,,65.291132840453031,0.124612433049453
15,28,,166.339418098340587,0.317469749711891
16,29,,271.247161962720440,0.517693097660444
17,30,,611.979262615943753,1.168002783421362
18,31,,678.558610621428215,1.295073860072513
19,32,,18862.626714445352263,36.000567095909190
20,33,,653.980131458824872,1.248164211612414
21,37,,139.799246796811559,0.266816082428855
22,38,,250.189650816704187,0.477503448871792
23,39,,340.407490861551992,0.649690146565133
24,40,,314.210754138527705,0.599691946825069
25,41,,1905.148699627006636,3.636101939931909
26,42,,9266.489326505305144,17.685706015000783
27,44,,507.817715651856247,0.969203601469540
28,50,,2519.944625436082788,4.809480510819461
29,55,,1144.060528677025559,2.183514971055275
30,62,,156.791464479004304,0.299246850531137
31,97,,2995.730960313228024,5.717550109574973
32,122,,48.171217907147714,0.091937946321647
33,127,,708.145517667543800,1.351542423459732
34,136,,19.367226117442097,0.036963628335425
35,139,,120.638604925217578,0.230246733751094
36,232,,213.469728944682714,0.407421056259002
37,242,,112.930056316958712,0.215534460344805
