Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann
1978,2.04,1.18,3.60,6.89,9.26,6.50,2.54,5.11,3.11,11.14,7.04,5.55,63.96
1979,9.46,16.66,2.03,2.56,2.68,3.74,1.73,2.26,2.38,3.07,4.19,6.11,56.88
1980,14.34,4.39,10.89,7.29,7.27,6.04,5.20,3.29,2.61,3.59,1.66,8.03,74.59
1981,2.87,3.71,2.90,5.18,5.56,2.05,3.64,4.53,2.41,5.32,6.63,9.48,54.27
1982,20.77,5.70,12.46,7.03,3.54,5.61,5.32,8.54,3.99,12.47,5.68,7.83,98.96
1983,3.13,0.70,1.41,3.88,3.27,3.05,4.22,3.70,4.93,3.56,2.38,2.58,36.82
1984,3.52,4.16,2.85,6.44,2.11,1.71,2.25,1.44,2.02,2.91,7.29,9.05,45.74
1985,4.29,9.06,4.72,2.53,5.53,1.67,3.44,2.50,4.46,8.42,6.46,1.77,54.82
1986,1.06,3.28,5.90,5.97,3.79,4.42,5.94,3.93,5.00,4.75,10.88,4.79,59.70
1987,3.74,4.08,2.73,5.37,4.37,5.17,4.12,2.50,5.11,3.85,7.13,22.17,70.32
1988,11.16,3.24,4.30,3.87,6.14,1.80,2.69,4.58,4.59,2.73,7.57,11.38,64.06
1989,9.37,10.59,5.53,11.37,3.85,3.34,7.84,3.35,2.63,14.37,2.77,2.92,77.93
1990,9.65,6.32,7.33,1.68,3.65,2.65,4.21,1.85,4.44,3.99,11.60,10.06,67.42
1991,3.15,4.77,15.61,4.69,2.86,4.31,3.48,4.79,3.59,10.97,3.22,6.34,67.79
1992,2.35,3.88,3.22,1.45,3.73,3.06,5.74,3.34,7.00,6.80,7.15,12.13,59.87
1993,4.08,1.95,0.95,3.13,2.96,1.97,7.24,4.50,4.03,5.18,4.10,2.58,42.67
1994,5.22,11.76,9.83,3.98,3.04,4.21,2.84,3.27,5.14,4.02,3.59,3.64,60.54
1995,2.58,6.51,3.30,4.64,1.97,2.37,3.89,5.02,2.55,4.09,5.50,3.47,45.89
1996,9.25,4.51,5.80,2.96,1.76,7.14,5.13,4.26,5.03,2.18,22.56,6.05,76.64
1997,10.83,2.60,10.57,6.97,5.11,4.66,4.26,2.73,3.84,5.32,4.35,4.20,65.44
1998,3.22,1.03,1.79,3.90,3.18,5.00,2.57,2.33,2.27,2.16,5.76,5.13,38.35
1999,5.04,3.40,4.17,4.46,3.99,2.60,4.23,2.30,1.87,5.67,3.12,9.61,50.45
2000,4.98,0.72,2.57,4.48,1.25,2.30,4.22,3.65,3.41,3.56,5.41,1.79,38.34
2001,1.45,4.00,3.12,4.68,2.74,4.09,2.25,3.08,2.12,4.69,6.83,4.70,43.74
2002,9.67,3.24,5.26,3.20,7.46,1.82,2.35,2.61,2.08,5.61,3.26,1.53,48.10
2003,4.15,4.26,4.88,4.32,1.10,2.81,2.95,1.66,3.44,2.76,6.13,12.95,51.40
2004,12.12,11.19,10.57,4.53,5.15,3.54,2.37,8.23,4.00,5.27,11.16,6.97,85.11
2005,9.10,5.83,5.08,2.60,3.18,3.36,3.86,1.92,7.35,8.52,5.56,1.09,57.46
2006,5.97,7.35,23.18,5.15,3.57,1.34,1.61,2.31,3.99,6.80,5.66,2.73,69.66
2007,4.61,3.10,4.63,2.61,2.05,2.31,3.22,2.76,3.20,2.28,9.86,13.05,53.69
2008,3.80,5.15,1.26,2.43,2.44,2.28,2.99,2.85,3.22,4.10,4.84,17.29,52.64
2009,4.11,2.30,6.05,4.30,1.73,1.50,2.79,3.68,1.85,3.58,6.39,2.46,40.74
2010,2.39,1.52,4.34,5.96,3.06,1.44,3.08,3.10,2.24,2.81,4.19,14.81,48.95
2011,7.59,5.69,4.56,4.26,9.53,6.77,3.46,2.25,1.57,3.20,3.49,5.65,58.03
2012,1.32,3.25,12.76,3.49,1.81,2.30,2.72,2.17,4.16,1.20,1.55,2.82,39.57
