"subcatchment","x","y"
1,21.3230543375782,-157.728803258497
1,21.3231032609315,-157.728663675084
1,21.3232110325147,-157.728211230874
1,21.3235167298556,-157.727426195304
1,21.3243235371213,-157.72615117762
1,21.3243521585899,-157.725429071959
1,21.3239721761128,-157.72522800474
1,21.3231185267156,-157.724855476931
1,21.3224888172815,-157.724656109655
1,21.3223721787922,-157.724727977572
1,21.3221674569457,-157.725060230957
1,21.3218649777402,-157.725163310527
1,21.3216988560812,-157.725279949376
1,21.3213273060636,-157.725367456917
1,21.3211109504983,-157.725634577441
1,21.3210750165399,-157.725787150248
1,21.3209808106175,-157.726541170119
1,21.3213516194267,-157.727004811737
1,21.3216928769758,-157.72714861085
1,21.3220080320503,-157.727378824839
1,21.3222129460752,-157.727865117628
1,21.3226782308275,-157.728502076541
2,21.3213516194267,-157.727004811737
2,21.3209808106175,-157.726541170119
2,21.3210750165399,-157.725787150248
2,21.320616936413,-157.726153569334
2,21.3201686931632,-157.72634245003
2,21.319770631685,-157.72666121281
2,21.3198084575857,-157.726965317533
2,21.3197544998395,-157.72739911342
2,21.3198916358077,-157.727724558043
2,21.3200905694687,-157.727996891295
2,21.3201833720748,-157.728738856956
2,21.3204675829998,-157.729127931889
2,21.3205094962433,-157.730028552473
2,21.3206354128719,-157.73009114261
2,21.3207922563917,-157.730122805855
2,21.3207922563917,-157.730217059238
2,21.3208865097743,-157.730217059238
2,21.3215814999338,-157.730729435356
2,21.3223839933637,-157.730811232194
2,21.3226258381943,-157.730165573385
2,21.3229266093663,-157.729688278288
2,21.3230115700482,-157.728854744349
2,21.3230543375782,-157.728803258497
2,21.3226782308275,-157.728502076541
2,21.3222129460752,-157.727865117628
2,21.3220080320503,-157.727378824839
2,21.3216928769758,-157.72714861085
4,21.3177761481431,-157.729274525411
4,21.3187221792952,-157.72977861745
4,21.3200382293295,-157.72993429909
4,21.3201641459581,-157.729996889227
4,21.3205094962433,-157.730028552473
4,21.3204675829998,-157.729127931889
4,21.3201833720748,-157.728738856956
4,21.3200905694687,-157.727996891295
4,21.3198916358077,-157.727724558043
4,21.3197544998395,-157.72739911342
4,21.3198084575857,-157.726965317533
4,21.319770631685,-157.72666121281
4,21.3201686931632,-157.72634245003
4,21.320616936413,-157.726153569334
4,21.3210750165399,-157.725787150248
4,21.3211109504983,-157.725634577441
4,21.3213273060636,-157.725367456917
4,21.3216988560812,-157.725279949376
4,21.3218649777402,-157.725163310527
4,21.3221674569457,-157.725060230957
4,21.3223721787922,-157.724727977572
4,21.3224888172815,-157.724656109655
4,21.3222071884513,-157.724167636206
4,21.3216299724139,-157.723497659989
4,21.3209206672055,-157.72336827444
4,21.3201138322321,-157.72307198162
4,21.3193278240836,-157.72328593073
4,21.3186750601545,-157.723575700628
4,21.3184359218224,-157.723619322444
4,21.318382832385,-157.723800236992
4,21.3180074224385,-157.724321863654
4,21.3174913256268,-157.725593570259
4,21.3172219413876,-157.725967876033
4,21.3170441139204,-157.726377907227
4,21.317356367082,-157.726772451606
4,21.317663826029,-157.7274813863
4,21.3175968501241,-157.72813847811
4,21.3177333806132,-157.728751772644
5,21.3092933436939,-157.72993429909
5,21.3093361112238,-157.729985784943
5,21.3094896382716,-157.730113313785
5,21.3100944974473,-157.73005166135
5,21.3112012584751,-157.73016447173
5,21.3129639388263,-157.729948279939
5,21.3133890066829,-157.729788559854
5,21.3140574986851,-157.729608771412
5,21.3143315405106,-157.729505799706
5,21.3152598786593,-157.729367520375
5,21.3156510878692,-157.729514518029
5,21.3160368197232,-157.729600053089
5,21.316373057621,-157.729726395243
5,21.3166922342412,-157.72969386207
5,21.31686954324,-157.729711934936
5,21.3171257780853,-157.729565179258
5,21.317330245192,-157.729319029917
5,21.3177761481431,-157.729274525411
5,21.3177333806132,-157.728751772644
5,21.3175968501241,-157.72813847811
5,21.317663826029,-157.7274813863
5,21.317356367082,-157.726772451606
5,21.3170441139204,-157.726377907227
5,21.3172219413876,-157.725967876033
5,21.3174913256268,-157.725593570259
5,21.3180074224385,-157.724321863654
5,21.318382832385,-157.723800236992
5,21.3184359218224,-157.723619322444
5,21.3180815432838,-157.723570890593
5,21.3172871799561,-157.723292470191
5,21.3169320398946,-157.723278393163
5,21.3157963640069,-157.723476145349
5,21.3151550488089,-157.723300608203
5,21.3147789010699,-157.722718112921
5,21.3136779230141,-157.721873837842
5,21.3119182233169,-157.721537877515
5,21.3117060323975,-157.721308866216
5,21.3110841579665,-157.721262987875
5,21.3107490576789,-157.72168191465
5,21.3106652311917,-157.721975101694
5,21.3104662975307,-157.722247434946
5,21.3103824710434,-157.72254062199
5,21.3102777907651,-157.722812955243
5,21.3101939642779,-157.723294649053
5,21.3099950306168,-157.723755489071
5,21.3099112041295,-157.724048676115
5,21.3098065238513,-157.724226755985
5,21.3097017400232,-157.724593239789
5,21.3092474739826,-157.72530726928
5,21.3089549456311,-157.726001485153
5,21.3090344791138,-157.726640895824
5,21.3092095172066,-157.727096270711
5,21.3093352569374,-157.727536051277
5,21.3094399372157,-157.72780838453
5,21.309523763703,-157.729467021362
5,21.3093352569374,-157.729787705568
6,21.305617461766,-157.728709005114
6,21.3057649095741,-157.728750064251
6,21.3063088267813,-157.728830442312
6,21.3068322037237,-157.729166601649
6,21.3073672170812,-157.729315584548
6,21.3076317740273,-157.729475167285
6,21.3081699384646,-157.729695425745
6,21.3084982576744,-157.729786851461
6,21.3086746289717,-157.729893239953
6,21.3092933436939,-157.72993429909
6,21.3093352569374,-157.729787705568
6,21.309523763703,-157.729467021362
6,21.3094399372157,-157.72780838453
6,21.3093352569374,-157.727536051277
6,21.3092095172066,-157.727096270711
6,21.3090344791138,-157.726640895824
6,21.3089549456311,-157.726001485153
6,21.3092474739826,-157.72530726928
6,21.3097017400232,-157.724593239789
6,21.3098065238513,-157.724226755985
6,21.3099112041295,-157.724048676115
6,21.3099950306168,-157.723755489071
6,21.3101939642779,-157.723294649053
6,21.3102777907651,-157.722812955243
6,21.3103824710434,-157.72254062199
6,21.3104662975307,-157.722247434946
6,21.3106652311917,-157.721975101694
6,21.3107490576789,-157.72168191465
6,21.3110841579665,-157.721262987875
6,21.3107071444354,-157.721262987875
6,21.3096525998623,-157.721316267154
6,21.3092480133049,-157.721594671736
